Time_s,Ax_ms2,Ay_ms2,Az_ms2
5.36,-0.191,-6.389,8.379
5.371,0.153,-6.16,8.608
5.382,0.191,-6.772,8.8
5.393,0.153,-7.307,8.838
5.404,0.421,-6.16,9.488
5.415,0.918,-6.695,10.215
5.426,1.11,-6.887,10.521
5.437,1.301,-6.313,10.674
5.448,1.798,-5.586,10.598
5.459,1.798,-5.05,10.483
5.47,1.569,-4.935,10.215
5.481,1.186,-5.127,10.215
5.492,0.88,-5.088,10.1
5.503,0.995,-4.668,10.139
5.514,1.301,-4.017,10.062
5.525,1.224,-3.52,9.641
5.535,1.377,-3.673,9.259
5.547,1.11,-4.017,8.532
5.557,0.383,-5.127,8.417
5.568,0.038,-5.088,7.614
5.579,0.077,-5.241,7.231
5.591,0.153,-6.619,6.504
5.601,-0.115,-7.078,5.968
5.612,0.0,-7.231,5.968
5.623,0.077,-6.963,5.968
5.634,-0.803,-6.695,5.815
5.646,-1.186,-7.116,5.509
5.657,-0.918,-7.614,5.471
5.668,-0.191,-8.532,5.165
5.679,0.153,-7.958,5.395
5.691,0.153,-7.537,5.203
5.701,0.077,-7.652,5.05
5.712,-0.306,-8.034,5.165
5.723,-0.344,-7.614,4.935
5.734,-0.153,-7.575,4.821
5.745,0.038,-7.92,4.821
5.756,-0.191,-8.493,4.629
5.767,-0.115,-8.417,4.782
5.778,-0.038,-8.187,5.05
5.788,0.038,-7.805,5.395
5.799,0.115,-7.843,5.662
5.81,0.077,-7.881,5.777
5.822,-0.077,-7.652,5.968
5.832,-0.038,-7.346,6.16
5.843,0.038,-6.695,6.772
5.854,0.077,-7.422,6.963
5.865,0.153,-7.575,7.193
5.876,0.115,-7.614,7.384
5.887,0.459,-7.346,7.499
5.898,0.497,-7.116,7.652
5.909,0.306,-6.542,7.461
5.92,0.344,-6.313,7.422
5.931,-0.115,-5.777,7.384
5.942,-0.038,-5.395,7.575
5.953,0.077,-5.127,7.728
5.964,-0.306,-5.395,7.958
5.975,0.153,-5.662,7.614
5.986,0.956,-5.318,7.728
5.997,0.383,-4.515,7.881
6.008,-0.077,-5.05,7.767
6.019,-0.191,-5.318,7.422
6.03,1.416,-4.821,7.499
6.04,0.956,-3.941,7.843
6.052,-0.191,-3.864,7.881
6.062,-0.306,-3.826,8.149
6.073,0.383,-3.329,8.302
6.084,0.995,-3.749,8.723
6.095,0.421,-4.285,8.876
6.107,0.536,-3.864,8.953
6.117,0.765,-3.826,9.067
6.128,0.612,-4.055,9.106
6.139,0.574,-4.706,9.182
6.15,0.459,-5.241,9.297
6.161,0.23,-5.012,9.526
6.172,0.459,-4.17,9.833
6.183,1.11,-3.864,10.215
6.194,1.263,-4.553,10.445
6.205,0.956,-4.515,10.713
6.216,1.071,-3.979,10.713
6.227,1.033,-3.711,10.751
6.238,0.88,-3.673,10.789
6.249,0.918,-3.902,10.636
6.26,0.765,-4.591,10.559
6.271,0.383,-4.323,10.368
6.282,0.497,-3.635,10.33
6.293,0.689,-3.329,10.062
6.303,0.612,-3.673,9.833
6.314,0.65,-3.979,9.641
6.326,0.536,-4.094,9.45
6.337,0.383,-3.941,9.22
6.347,0.383,-4.132,8.991
6.358,0.344,-4.744,8.57
6.369,0.077,-4.974,8.379
6.38,0.077,-4.897,7.958
6.391,0.115,-4.859,7.805
6.402,0.0,-5.165,7.575
6.413,0.077,-5.815,7.307
6.424,0.0,-6.428,7.078
6.435,-0.077,-6.504,6.772
6.446,-0.306,-6.504,6.772
6.457,-0.344,-6.313,6.925
6.468,-0.306,-5.586,7.116
6.479,-0.191,-5.586,7.116
6.49,0.0,-5.93,7.04
6.501,0.0,-6.695,6.963
6.512,-0.077,-7.116,6.925
6.523,-0.268,-7.116,6.848
6.533,-0.459,-7.193,6.848
6.546,-1.11,-7.346,6.351
6.557,-1.416,-7.154,6.274
6.567,-1.416,-7.269,6.428
6.578,-1.186,-7.69,6.657
6.589,-1.071,-7.996,6.619
6.6,-0.956,-7.996,6.351
6.611,-0.956,-7.92,6.16
6.622,-1.224,-7.614,6.045
6.633,-1.645,-7.728,5.854
6.644,-1.683,-7.728,5.93
6.655,-1.607,-7.728,6.045
6.666,-1.53,-7.881,6.236
6.678,-1.416,-7.843,6.313
6.688,-1.377,-7.384,6.581
6.699,-1.301,-6.772,6.734
6.71,-1.033,-6.313,6.695
6.722,-0.727,-6.619,6.428
6.734,-0.383,-6.81,6.313
6.745,-0.536,-7.193,6.466
6.756,-0.421,-7.537,6.466
6.767,-0.191,-7.69,6.428
6.777,0.038,-7.422,6.428
6.789,0.115,-7.537,6.734
6.8,0.918,-8.761,6.695
6.811,0.765,-8.532,6.542
6.822,0.536,-7.881,6.236
6.833,0.612,-7.614,5.968
6.843,0.383,-7.805,6.045
6.855,0.153,-8.34,6.236
6.866,0.115,-8.264,6.274
6.876,0.421,-7.346,6.198
6.888,-0.077,-7.958,6.542
6.899,0.0,-5.701,5.93
6.909,0.574,-6.657,6.695
6.92,0.344,-7.154,6.198
6.931,-0.191,-7.575,6.16
6.942,0.115,-7.69,6.504
6.953,0.306,-7.92,6.848
6.964,-0.115,-7.958,7.116
6.975,0.191,-6.198,7.652
6.986,0.459,-6.695,7.575
6.997,0.115,-6.887,7.193
7.008,-0.077,-6.657,7.193
7.019,-0.344,-6.619,7.422
7.03,-0.536,-6.581,7.69
7.041,-0.497,-5.815,7.537
7.052,-0.191,-5.356,7.461
7.063,-0.038,-4.935,8.073
7.074,-0.268,-4.706,8.149
7.085,-0.65,-4.17,8.34
7.097,-0.689,-3.443,8.264
7.108,-0.459,-3.29,8.264
7.119,-0.421,-3.367,8.608
7.13,-0.077,-3.673,9.565
7.14,0.115,-3.788,9.718
7.151,0.038,-3.329,9.297
7.162,-0.23,-3.329,9.106
7.173,-0.765,-3.175,8.723
7.184,-0.765,-3.214,8.455
7.195,-0.689,-3.635,8.8
7.206,-0.383,-3.558,9.029
7.217,-0.077,-3.635,9.373
7.228,-0.038,-3.864,9.68
7.239,-0.153,-3.482,9.488
7.25,-0.306,-3.214,9.335
7.261,-0.956,-3.596,8.953
7.272,-0.191,-2.678,9.297
7.283,0.459,-1.989,9.335
7.294,0.115,-2.793,9.603
7.304,-0.306,-2.716,9.68
7.315,-0.536,-2.831,9.565
7.327,-1.301,-2.334,9.297
7.337,-1.53,-2.678,9.22
7.348,-0.612,-3.482,9.412
7.359,-0.383,-1.11,9.833
7.37,-0.689,-2.257,10.024
7.381,-0.574,-2.602,9.947
7.392,-0.842,-2.334,9.756
7.403,-0.765,-1.76,9.794
7.414,-0.765,-2.372,9.909
7.425,-0.689,-2.449,10.024
7.436,-0.383,-2.334,9.947
7.447,-0.306,-2.143,9.833
7.458,-0.077,-1.836,9.488
7.469,0.0,-3.405,9.756
7.48,0.077,-2.143,9.833
7.491,0.115,-2.219,9.986
7.502,0.536,-1.683,9.833
7.513,0.497,-1.607,9.718
7.524,0.612,-1.607,9.45
7.535,0.612,-1.607,9.259
7.546,1.186,-2.143,8.876
7.557,1.377,-1.875,9.259
7.567,1.263,-1.875,9.488
7.579,0.727,-2.525,9.45
7.59,0.765,-2.908,9.603
7.601,1.186,-2.296,9.641
7.612,1.301,-2.563,9.756
7.622,1.186,-2.449,9.756
7.633,0.918,-1.76,9.526
7.644,1.11,-1.683,9.335
7.655,1.071,-1.645,9.526
7.666,1.033,-1.836,9.565
7.677,0.612,-2.372,9.871
7.688,0.803,-2.372,9.833
7.699,0.842,-1.836,9.833
7.71,1.186,-1.377,9.794
7.721,1.148,-1.033,9.756
7.732,0.956,-0.536,9.603
7.743,0.65,-0.536,9.488
7.754,0.689,-0.574,9.603
7.765,0.191,-0.689,9.68
7.776,0.038,-0.344,9.641
7.787,0.077,-0.574,9.68
7.798,0.23,-0.459,9.641
7.809,0.306,-0.765,9.794
7.82,0.268,-0.689,9.794
7.831,0.23,-0.191,9.871
7.842,0.268,-0.459,9.909
7.852,0.153,-0.077,9.794
7.864,-0.421,-0.038,9.718
7.875,0.115,-0.612,9.641
7.886,0.612,-0.612,9.565
7.896,0.918,-0.306,9.641
7.908,0.765,-0.803,9.68
7.918,1.071,-0.803,9.756
7.929,0.88,-0.842,9.756
7.94,0.153,-0.153,10.062
7.951,0.383,-1.569,10.139
7.962,0.268,-1.186,10.062
7.973,1.148,-1.301,9.871
7.984,0.497,-0.803,9.794
7.995,0.88,-1.071,9.871
8.006,1.186,-1.186,9.871
8.017,0.956,-0.956,9.909
8.028,0.88,-0.956,9.794
8.039,0.727,-0.803,9.871
8.05,0.574,-0.995,9.833
8.061,0.689,-0.65,9.833
8.072,0.612,-0.459,9.794
8.083,0.727,-0.612,9.756
8.094,0.612,-0.727,9.603
8.105,0.803,-0.65,9.603
8.116,0.612,-1.11,9.68
8.127,0.268,-0.612,9.756
8.137,0.191,-0.765,9.833
8.148,0.115,-0.956,9.756
8.16,0.268,-0.459,9.756
8.171,0.383,-0.727,9.756
8.181,0.536,-0.574,9.871
8.192,0.612,-0.536,9.871
8.203,0.536,-0.421,9.909
8.214,0.574,-0.842,9.833
8.225,0.574,-1.033,9.756
8.236,0.421,-0.612,9.794
8.247,0.268,-0.268,9.794
8.258,0.23,-0.115,9.833
8.269,0.383,-0.268,9.833
8.28,3.099,2.372,7.537
8.291,-0.23,-1.645,10.483
8.302,0.115,0.383,9.871
8.313,0.497,-0.842,9.909
8.324,0.268,-0.727,10.1
8.335,0.421,-0.574,9.909
8.346,0.038,-0.191,10.062
8.357,0.306,-0.536,9.986
8.368,0.421,-0.497,9.909
8.379,0.803,-0.344,9.565
8.39,0.574,-0.727,9.641
8.401,0.842,-0.689,9.794
8.412,0.918,-0.727,9.756
8.423,0.497,-0.88,10.062
8.433,0.383,-0.344,10.024
8.444,0.727,-0.765,9.909
8.455,0.574,-0.956,9.909
8.466,0.191,0.115,9.833
8.477,0.23,-0.268,9.871
8.488,0.191,-0.574,9.871
8.499,0.383,-0.612,9.756
8.51,0.268,-0.497,9.756
8.521,0.23,-0.459,9.68
8.532,0.536,-0.65,9.603
8.543,0.497,-0.306,9.68
8.554,0.497,-0.383,9.68
8.565,0.497,-0.459,9.756
8.576,0.497,-0.459,9.68
8.587,0.421,-0.689,9.756
8.598,0.306,-0.612,9.833
8.609,0.344,-0.497,9.794
8.62,0.421,-0.421,9.794
8.631,0.383,-0.383,9.833
8.642,0.344,-0.421,9.833
8.653,0.383,-0.574,9.833
8.663,0.421,-0.574,9.833
8.674,0.306,-0.612,9.794
8.686,0.306,-0.536,9.794
8.696,0.344,-0.765,9.833
8.707,0.344,-0.612,9.794
8.719,0.536,-0.536,9.794
8.729,0.459,-0.497,9.794
8.74,0.344,-0.65,9.718
8.751,0.344,-0.574,9.794
8.762,0.306,-0.689,9.871
8.773,0.115,-0.612,9.871
8.784,0.191,-0.65,9.909
8.795,0.23,-0.689,9.947
8.806,0.344,-0.574,9.909
8.817,0.421,-0.689,9.833
8.828,0.23,-0.727,9.794
8.839,0.306,-0.727,9.833
8.85,0.344,-0.689,9.794
8.861,0.383,-0.574,9.871
8.872,0.306,-0.536,9.794
8.883,0.421,-0.459,9.756
8.894,0.497,-0.574,9.756
8.905,0.421,-0.459,9.794
8.916,0.459,-0.421,9.718
8.927,0.383,-0.421,9.718
8.938,0.383,-0.536,9.756
8.949,0.421,-0.421,9.718
8.96,0.497,-0.536,9.794
8.97,0.383,-0.421,9.756
8.982,0.383,-0.421,9.718
8.993,0.497,-0.344,9.68
9.003,0.421,-0.383,9.794
9.014,0.497,-0.421,9.909
9.025,0.421,-0.497,10.024
9.036,0.459,-0.497,9.947
9.047,0.383,-0.65,10.1
9.058,0.383,-0.727,10.062
9.069,0.421,-0.574,9.986
9.081,1.76,-1.148,10.1
9.091,1.071,-0.995,9.833
9.102,1.148,-0.842,9.947
9.113,0.077,-0.306,10.024
9.124,0.038,-1.033,10.215
9.135,-0.574,-0.88,10.33
9.146,-0.268,-0.842,10.139
9.157,-0.191,-1.53,10.292
9.168,-0.153,-0.995,10.1
9.179,-0.115,-0.803,9.947
9.19,-0.574,-1.53,10.062
9.201,0.0,-1.492,9.909
9.211,0.038,-1.607,9.871
9.222,0.0,-1.186,9.68
9.233,0.038,-1.148,9.641
9.244,-0.23,-0.995,9.603
9.255,0.191,-0.995,9.335
9.267,0.306,-0.574,9.144
9.278,0.077,-0.88,9.22
9.288,-0.23,-1.798,9.412
9.299,-0.574,-2.372,9.603
9.31,-0.497,-2.563,9.871
9.321,-0.421,-2.334,9.833
9.332,-0.115,-1.836,9.68
9.343,0.077,-1.263,9.412
9.354,0.153,-0.88,9.22
9.365,-0.191,-1.645,9.297
9.376,-0.344,-1.989,9.412
9.387,-0.421,-2.334,9.565
9.398,-0.497,-2.41,9.68
9.409,-0.612,-2.41,9.718
9.42,-0.727,-2.41,9.68
9.431,-0.956,-1.951,9.45
9.442,-0.612,-2.066,9.373
9.453,-1.033,-2.41,9.488
9.464,-0.995,-2.41,9.373
9.475,-0.459,-2.793,8.876
9.486,-1.11,-2.449,9.106
9.497,-0.689,-2.678,9.029
9.508,-1.454,-3.214,9.335
9.519,-1.339,-2.831,9.182
9.529,-1.416,-2.449,9.144
9.54,-1.722,-2.602,9.067
9.551,-1.798,-2.984,9.144
9.562,-2.028,-3.405,9.259
9.573,-1.301,-3.214,9.488
9.584,-2.143,-3.175,8.953
9.595,-2.066,-3.252,9.106
9.606,-2.257,-3.482,9.067
9.617,-2.563,-3.558,9.182
9.628,-2.181,-3.482,9.22
9.639,-2.257,-3.214,8.953
9.65,-2.143,-3.29,8.647
9.661,-2.181,-3.252,8.685
9.672,-2.028,-2.946,8.647
9.683,-2.716,-3.979,9.067
9.694,-2.908,-3.252,8.685
9.705,-4.094,-5.395,9.641
9.717,-3.635,-4.132,9.182
9.729,-3.252,-3.711,8.914
9.74,-3.099,-3.405,8.532
9.751,-2.869,-3.329,8.57
9.762,-3.635,-3.175,8.34
9.772,-3.673,-3.405,8.455
9.783,-3.673,-3.252,8.455
9.794,-3.52,-3.175,8.493
9.806,-3.443,-2.946,8.532
9.816,-3.443,-3.175,8.455
9.827,-3.329,-3.137,8.417
9.838,-3.826,-3.29,8.417
9.849,-3.749,-3.711,8.302
9.86,-4.094,-3.673,8.264
9.871,-3.902,-3.482,8.264
9.882,-3.749,-3.252,8.379
9.893,-3.864,-3.558,8.417
9.904,-4.362,-3.558,8.111
9.916,-3.979,-3.329,8.226
9.927,-4.247,-3.022,7.996
9.938,-3.673,-2.946,8.187
9.949,-3.596,-3.099,8.226
9.96,-3.788,-3.405,8.111
9.971,-3.941,-3.214,8.302
9.982,-4.629,-2.716,8.34
9.993,-3.482,-6.542,7.346
10.004,-4.668,0.077,7.001
10.015,-4.974,-4.132,8.111
10.026,-4.744,-3.252,7.231
10.036,-4.323,-1.913,6.428
10.047,-2.984,-3.482,6.887
10.058,-2.793,-3.482,7.001
10.069,-4.591,-4.591,7.843
10.081,-6.848,-5.28,8.761
10.093,-7.001,-4.132,7.652
10.104,-6.198,-5.012,7.537
10.115,-6.274,-4.782,7.307
10.126,-4.897,-4.782,6.466
10.139,-5.088,-5.241,6.581
10.149,-5.701,-5.241,6.848
10.161,-5.815,-5.433,6.695
10.172,-5.815,-5.548,6.619
10.183,-6.045,-6.007,6.657
10.194,-6.734,-4.476,5.93
10.206,-7.307,-4.17,5.892
10.218,-7.193,-3.788,5.509
10.229,-6.887,-4.132,5.586
10.239,-5.777,-4.362,5.624
10.25,-5.586,-4.897,5.127
10.262,-5.968,-4.629,5.548
10.274,-6.542,-3.864,5.088
10.285,-7.231,-2.41,4.897
10.297,-6.734,-2.946,4.629
10.307,-7.04,-3.214,4.859
10.319,-7.767,-2.716,4.476
10.329,-8.723,-2.946,4.668
10.34,-8.838,-4.362,4.668
10.351,-7.881,-5.433,5.203
10.363,-7.805,-4.094,4.782
